signalname,is_mean,pp_mean,is_n,pub_year,retention,is_mean_z,pub_year_z,log_n_z
dVolPut,0.3846302012647519,0.22742561229081426,190,2014,0.59128381375926,-0.7015773958402741,1.2538078315046797,-0.8326879409259772
fgr5yrLag,0.8460562425196883,-0.0005117376416024051,96,1996,-0.0006048506185337869,0.31439840025211147,-0.9794255277500759,-2.0434396122686063
grcapx,0.5241457086548569,0.18856432925549266,288,2006,0.3597555529728849,-0.3943897514186588,0.2612596718358994,-0.09500888213517249
grcapx3y,0.5934627243991407,0.05482959416750662,288,2006,0.09238928059554133,-0.24176635361038912,0.2612596718358994,-0.09500888213517249
hire,0.5078709811520896,0.1918695480781045,546,2014,0.37779191014783786,-0.4302237264276142,1.2538078315046797,1.0394498186193877
iomom_cust,0.4222731394386097,0.049067233523726404,239,2010,0.11619785617659402,-0.6186945269531413,0.7575337516702895,-0.425768286282695
iomom_supp,0.6632542741681782,0.05348360290443925,239,2010,0.08063815792444885,-0.08809811862244757,0.7575337516702895,-0.425768286282695
realestate,0.3014658581869073,0.1350008617522643,420,2010,0.4478147627203756,-0.8846900772035078,0.7575337516702895,0.5741368045104147
retConglomerate,1.3655144661247602,0.302587953882855,396,2012,0.22159263881076235,1.4581504538392116,1.0056707915874845,0.46978093701862583
roaq,1.587183304321806,1.2912829355289293,360,2010,0.8135688751342346,1.9462247154123462,0.7575337516702895,0.30074470363512074
sfe,0.8319624710710086,0.7396532905432246,204,2001,0.889046460943182,0.28336649180460954,-0.35908292795708824,-0.706596616420879
sinAlgo,0.2626242438427024,-0.07649074343294102,972,2009,-0.2912554542327585,-0.970212211904753,0.633465231711692,2.062314547022701
skew1,0.638163920782595,0.1812876519618288,119,2010,0.2840769370658116,-0.14334249036581295,0.7575337516702895,-1.6625274359597255
std_turn,0.7705752904651217,-0.03432255736567836,360,2001,-0.044541471534807656,0.14820314143038363,-0.35908292795708824,0.30074470363512074
